"group","id","chrom","nSNP","from","to","lengthBps","population","Country"
"-9","ALL_RunHi7c-TAG-71.bam","BDMI01000005.1",28,12405036,12412097,7061,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-72.bam","BDMI01000005.1",30,12404970,12412097,7127,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-74.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-74.bam","BDMI01000010.1",22,557887,579643,21756,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-75.bam","BDMI01000005.1",32,12405036,12421655,16619,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-75.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-76.bam","BDMI01000005.1",32,12405036,12421655,16619,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-76.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-77.bam","BDMI01000005.1",25,12405249,12412048,6799,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-77.bam","BDMI01000010.1",21,557887,561693,3806,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-78.bam","BDMI01000005.1",28,12405036,12412097,7061,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-78.bam","BDMI01000010.1",22,557887,579643,21756,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-8.bam","BDMI01000005.1",20,12405036,12411574,6538,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-8.bam","BDMI01000010.1",22,557887,579643,21756,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-80.bam","BDMI01000001.1",20,10693339,10694969,1630,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-80.bam","BDMI01000005.1",28,12404970,12412048,7078,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-80.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-81.bam","BDMI01000001.1",26,10693111,10694969,1858,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-81.bam","BDMI01000005.1",28,12404970,12412048,7078,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-81.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-82.bam","BDMI01000001.1",22,10694146,10697870,3724,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-82.bam","BDMI01000005.1",30,12404970,12412097,7127,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-82.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-83.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-84.bam","BDMI01000005.1",25,12405036,12411770,6734,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-85.bam","BDMI01000005.1",30,12404970,12412097,7127,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-85.bam","BDMI01000010.1",21,557887,561693,3806,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-86.bam","BDMI01000005.1",30,12404970,12412097,7127,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-86.bam","BDMI01000010.1",22,557887,579643,21756,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-89.bam","BDMI01000005.1",25,12405249,12412048,6799,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-89.bam","BDMI01000017.1",25,9324219,9327893,3674,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-90.bam","BDMI01000005.1",30,12405036,12412262,7226,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-91.bam","BDMI01000005.1",23,12405036,12411745,6709,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-91.bam","BDMI01000010.1",20,557325,559225,1900,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-91.bam","BDMI01000017.1",24,9324926,9327893,2967,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-92.bam","BDMI01000001.1",21,10693444,10695034,1590,"D. abyssinica x  D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-92.bam","BDMI01000010.1",21,557887,561693,3806,"D. abyssinica x  D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-93.bam","BDMI01000005.1",26,12405036,12412048,7012,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-93.bam","BDMI01000010.1",21,557887,561693,3806,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-94.bam","BDMI01000010.1",21,557887,561693,3806,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-96.bam","BDMI01000005.1",30,12405036,12412262,7226,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-96.bam","BDMI01000010.1",22,557325,559237,1912,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-97.bam","BDMI01000010.1",23,557325,561693,4368,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi8c-TAG-10.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-10.bam","BDMI01000010.1",25,549981,561693,11712,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-10.bam","BDMI01000017.1",24,9324926,9327893,2967,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-11.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-11.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-12.bam","BDMI01000005.1",29,12405036,12412256,7220,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-12.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-13.bam","BDMI01000001.1",22,10693276,10694969,1693,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-13.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-13.bam","BDMI01000010.1",22,557366,561693,4327,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-13.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-14.bam","BDMI01000005.1",27,12405036,12412090,7054,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-14.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-14.bam","BDMI01000017.1",22,9323045,9327707,4662,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-16.bam","BDMI01000005.1",23,12404961,12411574,6613,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-17.bam","BDMI01000017.1",21,9325124,9327893,2769,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-18.bam","BDMI01000001.1",24,10693174,10694969,1795,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-18.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-18.bam","BDMI01000010.1",25,549981,561693,11712,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-19.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. abyssinica x  D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-19.bam","BDMI01000010.1",26,549981,579643,29662,"D. abyssinica x  D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-22.bam","BDMI01000001.1",26,10693111,10694969,1858,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-22.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-22.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-22.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-23.bam","BDMI01000005.1",28,12405036,12412097,7061,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-23.bam","BDMI01000017.1",24,9324926,9327893,2967,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-24.bam","BDMI01000005.1",26,12405036,12412048,7012,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-25.bam","BDMI01000005.1",29,12405036,12412256,7220,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-25.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-25.bam","BDMI01000017.1",26,9323045,9327869,4824,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-26.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-26.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-26.bam","BDMI01000017.1",33,9323045,9337886,14841,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-27.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-27.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-27.bam","BDMI01000017.1",33,9323045,9337886,14841,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-28.bam","BDMI01000001.1",24,10693174,10694969,1795,"Western D. praehensilis","Cameroon"
"-9","ALL_RunHi8c-TAG-28.bam","BDMI01000005.1",28,12405036,12412097,7061,"Western D. praehensilis","Cameroon"
"-9","ALL_RunHi8c-TAG-28.bam","BDMI01000010.1",23,557325,561693,4368,"Western D. praehensilis","Cameroon"
"-9","ALL_RunHi8c-TAG-29.bam","BDMI01000005.1",28,12405036,12412097,7061,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-29.bam","BDMI01000010.1",24,557070,561693,4623,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-29.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Cameroon"
"-9","ALL_RunHi8c-TAG-31.bam","BDMI01000005.1",20,12405036,12411574,6538,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-32.bam","BDMI01000005.1",21,12404970,12411370,6400,"Western D. praehensilis x D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-34.bam","BDMI01000005.1",30,12404970,12412097,7127,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-34.bam","BDMI01000010.1",25,549981,561693,11712,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-35.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-36.bam","BDMI01000001.1",22,10693111,10694879,1768,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-36.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-36.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-38.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-38.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-39.bam","BDMI01000005.1",29,12405036,12412256,7220,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-40.bam","BDMI01000005.1",20,12405646,12412262,6616,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-40.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-41.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-42.bam","BDMI01000005.1",27,12405036,12412090,7054,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-42.bam","BDMI01000010.1",25,549981,561693,11712,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-43.bam","BDMI01000005.1",22,12404970,12411574,6604,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-44.bam","BDMI01000005.1",28,12405249,12412256,7007,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-44.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-44.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-45.bam","BDMI01000010.1",25,549981,561693,11712,"D. rotundata","Nigeria"
"-9","ALL_RunHi8c-TAG-46.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-46.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-46.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-47.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-48.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-48.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-48.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-49.bam","BDMI01000001.1",26,10693111,10694969,1858,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-49.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-49.bam","BDMI01000010.1",25,549981,561693,11712,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-49.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-50.bam","BDMI01000001.1",24,10693174,10694969,1795,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-50.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-50.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-50.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-51.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-51.bam","BDMI01000010.1",24,557070,561693,4623,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-52.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-52.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-52.bam","BDMI01000017.1",24,9324926,9327893,2967,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-53.bam","BDMI01000001.1",24,10693174,10694969,1795,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-53.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-53.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-54.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Benin"
"-9","ALL_RunHi8c-TAG-7.bam","BDMI01000001.1",24,10693174,10694969,1795,"Western D. praehensilis x D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-7.bam","BDMI01000005.1",21,12405646,12412697,7051,"Western D. praehensilis x D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-7.bam","BDMI01000010.1",21,557887,561693,3806,"Western D. praehensilis x D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-9.bam","BDMI01000005.1",24,12405369,12412097,6728,"D. rotundata","Ghana"
"-9","ALL_RunHi8c-TAG-9.bam","BDMI01000017.1",24,9324926,9327893,2967,"D. rotundata","Ghana"
